"","site","transect","quadrat","bare_rock","algae","mussels","small_barnacles","large_barnacles","gooseneck_barnacles","anemone","whelks","crabs","stars"
"44","Dana Point",5,"Mid",2,20,35,50,30,3,0,0,0,0
"45","Dana Point",5,"High",0,5,5,90,2,0,0,0,1,0
"46","Dana Point",6,"Low",2,95,0,0,3,0,0,0,0,0
"47","Dana Point",6,"Mid",0,45,45,60,10,0,5,0,1,0
"48","Dana Point",6,"High",30,3,0,70,2,0,2,0,0,0
"49","Dana Point",7,"Low",10,90,0,5,2,0,5,0,0,0
"50","Dana Point",7,"Mid",0,95,5,0,0,0,0,0,0,0
"51","Dana Point",7,"High",25,25,0,50,0,0,0,0,0,0
"52","Dana Point",8,"Low",3,95,0,1,2,0,0,0,0,0
"53","Dana Point",8,"Mid",2,95,1,3,5,0,0,0,1,0
"54","Dana Point",8,"High",5,0,0,95,0,0,0,0,0,0
"55","Dana Point",9,"Low",0,100,0,0,0,0,0,0,0,0
"56","Dana Point",9,"Mid",3,90,0,10,0,0,2,0,0,0
"57","Dana Point",9,"High",3,15,5,80,0,0,2,0,0,0
"58","Dana Point",10,"Low",0,95,0,2,1,0,2,0,0,0
"59","Dana Point",10,"Mid",0,95,0,2,1,0,2,0,0,0
"60","Dana Point",10,"High",0,10,0,90,0,0,0,0,0,0
"61","Crystal Cove",1,"Low",0,100,0,0,0,0,0,0,0,0
"62","Crystal Cove",1,"Mid",30,5,60,10,5,30,5,0,0,0
"63","Crystal Cove",1,"High",5,3,2,90,0,0,0,0,0,0
"64","Crystal Cove",2,"Low",0,80,10,0,1,0,0,0,0,0
"65","Crystal Cove",2,"Mid",15,3,50,30,3,25,2,0,0,0
"66","Crystal Cove",2,"High",30,0,10,40,0,10,10,0,0,0
"67","Crystal Cove",3,"Low",5,80,2,1,15,1,3,0,0,0
"68","Crystal Cove",3,"Mid",0,15,60,15,5,40,10,0,1,0
"69","Crystal Cove",3,"High",30,0,5,50,3,10,2,0,0,0
"70","Crystal Cove",4,"Low",0,80,20,2,5,0,3,0,0,0
"71","Crystal Cove",4,"Mid",15,3,40,10,2,50,5,0,0,0
"72","Crystal Cove",4,"High",5,0,2,90,1,0,3,0,0,0
"73","Crystal Cove",5,"Low",5,45,1,0,15,1,35,0,0,0
"74","Crystal Cove",5,"Mid",15,5,30,25,5,30,5,0,0,0
"75","Crystal Cove",5,"High",10,5,5,70,0,0,10,0,0,0
"76","Crystal Cove",6,"Low",5,80,0,0,1,0,15,0,0,0
"77","Crystal Cove",6,"Mid",20,0,80,50,5,10,5,0,0,0
"78","Crystal Cove",6,"High",40,6,2,50,2,2,4,0,0,0
"79","Crystal Cove",7,"Low",15,80,0,0,0,0,5,0,0,0
"80","Crystal Cove",7,"Mid",10,0,50,5,5,0,40,0,0,0
"81","Crystal Cove",7,"High",5,5,5,75,0,10,0,0,0,0
"82","Crystal Cove",8,"Low",0,70,0,0,0,0,30,0,0,0
"83","Crystal Cove",8,"Mid",20,15,30,5,0,35,25,0,0,0
"84","Crystal Cove",8,"High",25,5,5,50,1,15,0,0,0,0
"85","Crystal Cove",9,"Low",0,60,0,0,0,0,40,0,0,0
"86","Crystal Cove",9,"Mid",20,0,30,40,1,20,10,1,1,0
"87","Crystal Cove",9,"High",2,0,0,98,0,0,0,0,0,0
"88","Crystal Cove",10,"Low",0,85,10,0,0,0,5,0,0,0
"89","Crystal Cove",10,"Mid",0,5,50,3,10,5,40,0,0,0
"90","Crystal Cove",10,"High",40,10,15,10,5,20,15,0,0,0
"91","Little Corona",1,"Low",0,100,0,0,0,0,0,0,0,0
"92","Little Corona",1,"Mid",5,90,10,4,3,3,1,0,0,0
"93","Little Corona",1,"High",90,5,0,5,0,0,0,0,0,0
"94","Little Corona",2,"Low",20,80,0,0,1,0,0,0,1,0
"95","Little Corona",2,"Mid",50,30,5,5,5,5,3,0,0,0
"96","Little Corona",2,"High",80,1,0,10,0,0,20,0,0,0
"97","Little Corona",3,"Low",0,100,0,0,1,0,0,0,0,0
"98","Little Corona",3,"Mid",30,40,5,10,5,20,0,0,0,0
"99","Little Corona",3,"High",75,3,2,25,0,0,0,0,0,0
"100","Little Corona",4,"Low",25,75,0,0,0,0,0,0,0,0
"101","Little Corona",4,"Mid",0,80,5,2,3,0,0,0,0,0
"102","Little Corona",4,"High",25,40,5,30,0,0,0,0,0,0
"103","Little Corona",5,"Low",20,80,0,0,0,0,0,0,0,0
"104","Little Corona",5,"Mid",30,60,5,0,5,0,3,0,0,0
"105","Little Corona",5,"High",80,5,0,15,0,0,0,0,0,0
"106","Little Corona",6,"Low",2,98,0,0,0,0,0,0,0,0
"107","Little Corona",6,"Mid",50,40,5,3,0,0,5,0,0,0
"108","Little Corona",6,"High",98,0,0,2,0,0,0,0,0,0
"109","Little Corona",7,"Low",5,95,0,0,0,0,0,0,1,0
"110","Little Corona",7,"Mid",20,30,15,10,5,0,0,0,0,0
"111","Little Corona",7,"High",60,35,0,5,0,0,0,0,0,0
"112","Little Corona",8,"Low",30,70,2,0,0,0,0,0,0,0
"113","Little Corona",8,"Mid",25,35,20,5,5,15,0,0,0,0
"114","Little Corona",8,"High",85,15,3,2,0,0,0,0,0,0
"115","Little Corona",9,"Low",15,85,0,0,1,0,0,0,0,0
"116","Little Corona",9,"Mid",5,75,10,2,5,10,0,0,0,0
"117","Little Corona",9,"High",50,25,5,25,1,0,0,0,0,0
"118","Little Corona",10,"Low",0,95,0,0,0,0,5,0,0,0
"119","Little Corona",10,"Mid",60,25,5,0,2,10,0,0,0,0
"120","Little Corona",10,"High",65,15,3,15,2,0,0,0,0,0
"121","Carpenteria",1,"Low",5,50,40,30,0,60,5,0,0,0
"122","Carpenteria",1,"Mid",25,1,30,20,0,20,25,0,0,0
"123","Carpenteria",1,"High",70,5,1,15,0,10,0,0,0,0
"124","Carpenteria",2,"Low",5,60,80,20,0,15,5,0,0,0
"125","Carpenteria",2,"Mid",10,25,30,25,0,60,0,0,0,0
"126","Carpenteria",2,"High",45,0,15,40,0,0,0,0,0,0
"127","Carpenteria",3,"Low",20,60,60,20,0,10,20,0,0,0
"128","Carpenteria",3,"Mid",0,30,60,10,0,40,0,0,0,0
"129","Carpenteria",3,"High",20,0,20,25,0,5,0,0,0,0
"130","Carpenteria",4,"Low",0,75,20,20,0,0,25,1,0,0
"131","Carpenteria",4,"Mid",20,15,25,15,0,40,0,0,0,0
"132","Carpenteria",4,"High",40,2,10,40,0,5,5,0,0,0
"133","Carpenteria",5,"Low",0,1,50,25,0,2,50,1,0,0
"134","Carpenteria",5,"Mid",15,15,60,20,0,30,0,0,0,0
"135","Carpenteria",5,"High",60,5,20,30,0,10,0,0,0,0
"136","Carpenteria",6,"Low",20,0,40,30,0,5,40,0,0,0
"137","Carpenteria",6,"Mid",30,5,50,0,0,20,0,0,0,0
"138","Carpenteria",6,"High",65,0,5,30,0,3,2,0,0,0
"139","Carpenteria",7,"Low",20,0,20,15,0,10,60,0,0,0
"140","Carpenteria",7,"Mid",65,0,20,10,0,20,5,0,0,0
"141","Carpenteria",7,"High",70,0,15,25,0,5,0,0,0,0
"142","Carpenteria",8,"Mid",75,5,20,10,0,15,5,0,0,0
"143","Carpenteria",8,"Low",30,10,15,10,0,50,0,0,0,0
"144","Carpenteria",8,"High",30,0,2,70,0,0,0,0,0,0
"145","Carpenteria",9,"Low",40,15,30,0,0,20,5,0,0,0
"146","Carpenteria",9,"Mid",50,15,15,10,0,25,0,0,0,0
"147","Carpenteria",9,"High",90,1,0,10,0,0,0,0,0,0
"148","Carpenteria",10,"Low",5,2,20,5,0,10,70,0,0,0
"149","Carpenteria",10,"Mid",35,0,30,10,0,20,15,0,0,0
"150","Carpenteria",10,"High",85,1,0,15,0,0,0,0,0,0
"151","Shell Beach",1,"Low",15,80,0,5,0,0,2,0,0,0
"152","Shell Beach",1,"Mid",20,10,80,0,0,5,5,0,1,0
"153","Shell Beach",1,"High",50,2,0,50,3,0,0,0,0,0
"154","Shell Beach",2,"Low",15,35,0,0,0,0,50,0,0,0
"155","Shell Beach",2,"Mid",10,15,85,2,3,10,5,1,0,0
"156","Shell Beach",2,"High",4,1,0,95,0,0,0,0,0,0
"157","Shell Beach",3,"Low",2,70,5,0,0,0,85,1,0,0
"158","Shell Beach",3,"Mid",10,20,60,5,2,15,5,0,1,0
"159","Shell Beach",3,"High",15,3,0,80,2,0,0,1,0,0
"160","Shell Beach",4,"Low",25,20,0,2,0,0,70,0,0,0
"161","Shell Beach",4,"Mid",0,3,95,10,2,5,5,1,0,0
"162","Shell Beach",4,"High",3,15,0,95,2,0,0,0,0,0
"163","Shell Beach",5,"Low",15,30,0,2,2,0,70,0,2,0
"164","Shell Beach",5,"Mid",0,20,97,5,3,3,3,0,1,0
"165","Shell Beach",5,"High",30,20,0,50,2,0,0,1,0,0
"166","Shell Beach",6,"Low",5,25,1,0,0,0,15,0,0,0
"167","Shell Beach",6,"Mid",20,40,50,3,5,30,3,1,3,0
"168","Shell Beach",6,"High",50,5,0,50,2,0,0,0,0,0
"169","Shell Beach",7,"Low",5,30,2,0,0,0,5,0,0,0
"170","Shell Beach",7,"Mid",0,30,85,5,10,15,5,0,0,0
"171","Shell Beach",7,"High",15,2,0,80,3,0,0,0,0,0
"172","Shell Beach",8,"Low",0,20,5,2,3,3,10,0,0,0
"173","Shell Beach",8,"Mid",20,35,40,5,2,15,3,0,0,0
"174","Shell Beach",8,"High",5,0,0,95,0,0,0,0,0,0
"175","Shell Beach",9,"Low",5,80,0,0,2,0,15,0,0,0
"176","Shell Beach",9,"Mid",0,0,85,90,5,15,5,2,3,0
"177","Shell Beach",9,"High",10,20,0,80,5,0,0,0,0,0
"178","Shell Beach",10,"Low",10,90,0,0,5,0,15,0,0,0
"179","Shell Beach",10,"Mid",10,15,60,0,5,30,5,0,1,0
"180","Shell Beach",10,"High",75,5,0,20,1,0,0,0,1,0
"181","Hazards",1,"Low",5,70,0,0,0,0,2,0,0,0
"182","Hazards",1,"Mid",5,20,40,0,0,40,5,0,1,0
"183","Hazards",1,"High",13,30,25,2,5,30,3,0,3,0
"184","Hazards",2,"Low",55,96,0,0,0,0,15,0,0,0
"185","Hazards",2,"Mid",10,30,40,0,0,10,0,0,1,0
"186","Hazards",2,"High",10,90,10,0,3,5,0,0,0,0
"187","Hazards",3,"Low",3,93,0,0,2,0,20,0,0,0
"188","Hazards",3,"Mid",15,35,30,0,2,15,10,0,1,0
"189","Hazards",3,"High",0,100,3,0,0,0,0,0,0,0
"190","Hazards",4,"Low",10,90,0,0,0,0,5,0,0,0
"191","Hazards",4,"Mid",15,30,70,0,2,20,8,2,1,0
"192","Hazards",4,"High",16,90,0,3,0,0,0,0,0,0
"193","Hazards",5,"Low",10,80,0,0,0,0,20,0,0,0
"194","Hazards",5,"Mid",20,40,10,2,0,5,3,0,1,0
"195","Hazards",5,"High",15,90,3,2,3,0,2,0,0,0
"196","Hazards",6,"Low",5,80,0,0,0,0,15,0,0,0
"197","Hazards",6,"Mid",5,60,30,0,0,0,5,0,0,0
"198","Hazards",6,"High",40,40,5,2,15,0,0,0,0,0
"199","Hazards",7,"Low",5,65,0,0,0,0,30,0,0,0
"200","Hazards",7,"Mid",15,60,30,2,3,15,10,1,3,0
"201","Hazards",7,"High",90,5,0,2,5,0,0,0,0,0
"202","Hazards",8,"Low",20,60,0,0,0,0,15,0,0,0
"203","Hazards",8,"Mid",5,50,5,0,0,15,25,0,1,0
"204","Hazards",8,"High",40,40,0,0,20,0,10,0,1,0
"205","Hazards",9,"Low",15,70,0,0,0,0,25,0,0,0
"206","Hazards",9,"Mid",10,60,5,0,2,10,3,1,0,0
"207","Hazards",9,"High",50,30,0,1,20,0,0,0,0,0
"208","Hazards",10,"Low",3,90,1,1,0,0,10,0,0,0
"209","Hazards",10,"Mid",50,40,5,0,10,0,10,1,1,0
"210","Hazards",10,"High",70,10,0,15,5,0,0,0,0,0
"211","Cambria",1,"Low",5,95,0,0,0,5,0,0,0,0
"212","Cambria",1,"Mid",30,50,20,0,0,5,0,0,0,0
"213","Cambria",1,"High",90,0,5,0,0,5,0,0,0,0
"214","Cambria",2,"Low",5,90,1,0,0,0,5,0,0,0
"215","Cambria",2,"Mid",10,25,30,10,1,30,0,0,1,0
"216","Cambria",2,"High",94,5,1,1,0,0,0,0,0,0
"217","Cambria",3,"Low",4,95,0,0,1,0,0,0,0,0
"218","Cambria",3,"Mid",60,10,20,5,0,10,0,0,0,0
"219","Cambria",3,"High",95,3,0,0,0,2,0,0,0,0
"220","Cambria",4,"Low",0,70,1,0,0,0,0,0,1,0
"221","Cambria",4,"Mid",40,10,30,5,0,20,0,0,0,0
"222","Cambria",4,"High",95,4,0,1,1,0,0,0,0,0
"223","Cambria",5,"Low",0,80,0,0,0,0,0,0,1,0
"224","Cambria",5,"Mid",55,20,10,3,0,15,0,0,2,0
"225","Cambria",5,"High",94,3,0,1,0,0,0,0,0,0
"226","Cambria",6,"Low",5,60,0,0,0,0,0,0,0,0
"227","Cambria",6,"Mid",30,60,5,0,1,5,0,0,1,0
"228","Cambria",6,"High",93,2,0,5,0,0,0,1,0,0
"229","Cambria",7,"Low",0,100,0,1,1,0,0,0,0,0
"230","Cambria",7,"Mid",30,70,0,1,2,5,0,0,0,0
"231","Cambria",7,"High",5,5,0,10,0,0,0,0,0,0
"232","Cambria",8,"Low",0,100,0,0,0,0,0,0,0,0
"233","Cambria",8,"Mid",40,40,2,0,2,20,0,1,0,0
"234","Cambria",8,"High",60,15,0,35,0,0,0,0,0,0
"235","Cambria",9,"Low",0,85,0,15,0,0,0,0,0,0
"236","Cambria",9,"Mid",20,60,1,2,0,0,2,4,0,0
"237","Cambria",9,"High",75,5,0,20,0,0,0,0,0,0
"238","Cambria",10,"Low",5,95,0,0,0,0,0,1,1,0
"239","Cambria",10,"Mid",20,80,1,0,0,0,0,0,0,0
"240","Cambria",10,"High",80,10,0,10,0,0,0,0,0,0
"241","Bodega",1,"Low",0,100,0,0,0,0,0,0,0,0
"242","Bodega",1,"Mid",0,60,90,25,0,5,0,0,0,0
"243","Bodega",1,"High",85,10,0,5,0,0,0,0,0,0
"244","Bodega",2,"Low",0,100,0,0,0,0,0,0,0,0
"245","Bodega",2,"Mid",5,30,65,10,1,0,0,0,0,0
"246","Bodega",2,"High",65,10,0,25,0,0,0,0,0,0
"247","Bodega",3,"Low",0,100,0,0,0,0,0,0,0,0
"248","Bodega",3,"Mid",0,50,65,0,0,0,0,1,0,0
"249","Bodega",3,"High",98,2,0,2,0,0,0,0,0,0
"250","Bodega",4,"Low",0,100,0,0,0,0,0,0,0,0
"251","Bodega",4,"Mid",0,75,90,15,2,0,0,0,0,0
"252","Bodega",4,"High",97,2,0,1,0,0,0,0,0,0
"253","Bodega",5,"Low",0,100,0,0,0,0,0,0,0,0
"254","Bodega",5,"Mid",0,25,95,20,0,15,0,2,0,0
"255","Bodega",5,"High",99,0,0,1,0,0,0,0,0,0
"256","Bodega",6,"Low",0,100,0,0,0,0,0,0,0,0
"257","Bodega",6,"Mid",15,50,80,0,0,5,0,2,1,0
"258","Bodega",6,"High",98,0,0,2,0,0,0,0,0,0
"259","Bodega",7,"Low",0,100,0,0,0,0,0,0,0,0
"260","Bodega",7,"Mid",5,80,5,0,0,0,0,0,0,0
"261","Bodega",7,"High",98,1,0,1,0,0,0,0,0,0
"262","Bodega",8,"Low",0,100,0,0,0,0,0,0,0,0
"263","Bodega",8,"Mid",5,90,17,20,0,2,0,0,1,0
"264","Bodega",8,"High",84,9,0,15,0,0,0,0,0,0
"265","Bodega",9,"Low",15,85,0,0,0,0,0,0,0,0
"266","Bodega",9,"Mid",10,95,2,0,0,0,0,0,0,0
"267","Bodega",9,"High",98,0,0,2,0,0,0,0,0,0
"268","Bodega",10,"Low",0,100,0,0,0,0,0,0,0,0
"269","Bodega",10,"Mid",10,70,50,2,0,0,0,0,1,2
"270","Bodega",10,"High",94,5,0,1,0,0,0,0,0,0
"271","Point St. George",1,"Low",10,85,0,5,0,0,0,0,0,0
"272","Point St. George",1,"Mid",5,55,50,30,0,20,0,19,0,0
"273","Point St. George",1,"High",10,80,1,5,2,5,0,0,0,0
"274","Point St. George",2,"Low",5,70,0,15,0,0,10,1,0,0
"275","Point St. George",2,"Mid",0,4,100,50,0,1,0,11,0,0
"276","Point St. George",2,"High",35,55,0,10,0,0,0,0,0,0
"277","Point St. George",3,"Low",10,60,0,30,0,0,5,0,0,1
"278","Point St. George",3,"Mid",0,25,100,15,0,1,0,9,1,0
"279","Point St. George",3,"High",30,10,0,60,0,0,0,1,0,0
"280","Point St. George",4,"Low",0,100,0,5,0,0,0,0,0,1
"281","Point St. George",4,"Mid",10,20,75,15,0,5,0,9,0,0
"282","Point St. George",4,"High",25,60,10,15,0,0,0,1,0,0
"283","Point St. George",5,"Low",0,90,0,10,0,0,5,0,0,0
"284","Point St. George",5,"Mid",0,20,100,5,0,1,0,2,0,0
"285","Point St. George",5,"High",15,15,0,60,0,0,0,0,0,0
"286","Point St. George",6,"Low",0,95,0,5,0,0,0,0,0,0
"287","Point St. George",6,"Mid",0,80,100,25,0,2,0,2,0,0
"288","Point St. George",6,"High",20,50,20,30,0,5,0,1,0,0
"289","Point St. George",7,"Low",0,100,0,0,0,0,0,0,0,0
"290","Point St. George",7,"Mid",0,95,100,5,0,5,0,0,0,0
"291","Point St. George",7,"High",30,60,3,5,0,0,0,1,0,0
"292","Point St. George",8,"Low",5,90,0,5,0,0,0,0,0,0
"293","Point St. George",8,"Mid",5,80,45,15,5,2,3,0,0,0
"294","Point St. George",8,"High",0,20,20,60,1,4,0,12,0,0
"295","Point St. George",9,"Low",0,95,0,5,0,0,0,0,0,0
"296","Point St. George",9,"Mid",0,60,95,50,1,1,0,5,0,0
"297","Point St. George",9,"High",10,80,5,35,1,0,0,27,0,0
"298","Point St. George",10,"Low",40,50,0,10,0,0,0,0,0,0
"299","Point St. George",10,"Mid",10,70,0,30,0,0,0,0,0,0
"300","Point St. George",10,"High",10,60,5,30,0,0,0,7,0,0
"301","Cape Arago",1,"Low",40,70,0,1,0,0,4,0,0,0
"302","Cape Arago",1,"Mid",35,5,30,25,0,10,0,0,0,0
"303","Cape Arago",1,"High",73,2,0,25,0,0,0,0,0,0
"304","Cape Arago",2,"Low",5,70,0,25,0,0,10,1,0,0
"305","Cape Arago",2,"Mid",30,5,10,50,0,0,5,0,0,0
"306","Cape Arago",2,"High",20,2,0,80,0,0,0,0,0,0
"307","Cape Arago",3,"Low",60,10,0,30,0,0,0,1,0,0
"308","Cape Arago",3,"Mid",25,0,25,50,0,10,0,2,0,0
"309","Cape Arago",3,"High",75,0,0,25,0,0,0,0,0,0
"310","Cape Arago",4,"High",20,80,0,5,0,0,0,0,0,0
"311","Cape Arago",4,"Low",0,10,75,0,0,3,5,3,0,0
"312","Cape Arago",4,"Mid",35,15,0,50,0,0,0,0,0,0
"313","Cape Arago",5,"Low",20,75,0,0,0,0,5,1,0,0
"314","Cape Arago",5,"Mid",40,10,15,35,0,0,0,0,0,0
"315","Cape Arago",5,"High",50,10,0,40,0,0,0,0,0,0
"316","Cape Arago",6,"Low",35,60,0,0,0,0,5,2,0,0
"317","Cape Arago",6,"Mid",5,10,10,80,0,0,5,5,0,0
"318","Cape Arago",6,"High",20,15,5,60,0,0,0,2,0,0
"319","Cape Arago",7,"Low",20,80,0,0,0,0,0,0,0,0
"320","Cape Arago",7,"Mid",20,15,5,60,0,0,0,0,0,0
"321","Cape Arago",7,"High",40,8,2,50,0,0,0,0,0,0
"322","Cape Arago",8,"Low",30,70,0,0,0,0,0,0,0,0
"323","Cape Arago",8,"Mid",5,10,40,40,0,10,0,1,0,0
"324","Cape Arago",8,"High",20,10,5,65,0,0,0,0,0,0
"325","Cape Arago",9,"Low",40,60,0,0,0,0,0,0,0,0
"326","Cape Arago",9,"Mid",30,10,10,45,0,5,5,0,0,0
"327","Cape Arago",9,"High",70,15,0,15,0,0,0,0,0,0
"328","Cape Arago",10,"Low",45,40,0,5,0,0,10,0,0,0
"329","Cape Arago",10,"Mid",30,5,20,35,0,10,0,0,1,0
"330","Cape Arago",10,"High",40,10,1,50,0,0,0,0,0,0
"331","Fogarty Creek",1,"Low",0,90,0,0,0,0,15,21,0,0
"332","Fogarty Creek",1,"Mid",8,3,95,100,3,5,5,0,0,0
"333","Fogarty Creek",1,"High",60,10,0,30,0,0,0,0,0,0
"334","Fogarty Creek",2,"Low",0,95,0,0,0,0,5,0,0,0
"335","Fogarty Creek",2,"Mid",0,0,97,80,2,3,0,20,0,0
"336","Fogarty Creek",2,"High",20,35,0,45,0,0,0,0,0,0
"337","Fogarty Creek",3,"Low",0,70,0,0,0,0,40,0,0,0
"338","Fogarty Creek",3,"Mid",5,1,90,60,1,10,0,8,0,0
"339","Fogarty Creek",3,"High",5,80,0,15,0,0,0,0,0,0
"340","Fogarty Creek",4,"Low",0,100,0,0,0,0,0,0,0,0
"341","Fogarty Creek",4,"Mid",0,1,90,55,1,10,0,14,0,0
"342","Fogarty Creek",4,"High",15,70,0,15,0,0,0,0,0,0
"343","Fogarty Creek",5,"Low",0,100,0,0,0,0,0,0,0,0
"344","Fogarty Creek",5,"Mid",0,0,75,30,0,25,0,26,0,0
"345","Fogarty Creek",5,"High",0,20,0,25,0,0,0,0,0,0
"346","Fogarty Creek",6,"Low",0,100,0,0,0,0,0,0,0,0
"347","Fogarty Creek",6,"Mid",10,5,65,40,2,20,1,12,0,0
"348","Fogarty Creek",6,"High",45,5,0,40,0,0,0,0,0,0
"349","Fogarty Creek",7,"Low",0,100,0,0,0,0,0,0,0,0
"350","Fogarty Creek",7,"Mid",0,2,100,60,3,5,0,7,0,0
"351","Fogarty Creek",7,"High",15,40,1,45,0,0,0,0,0,0
"352","Fogarty Creek",8,"Low",0,100,0,6,0,0,0,0,0,0
"353","Fogarty Creek",8,"Mid",0,1,80,30,1,20,0,10,0,0
"354","Fogarty Creek",8,"High",2,1,0,98,0,0,0,0,0,0
"355","Fogarty Creek",9,"Low",0,100,0,0,0,0,1,0,0,0
"356","Fogarty Creek",9,"Mid",0,1,90,30,2,10,0,5,0,0
"357","Fogarty Creek",9,"High",13,2,0,85,0,0,0,0,0,0
"358","Fogarty Creek",10,"Low",0,100,0,0,0,0,0,0,0,0
"359","Fogarty Creek",10,"Mid",0,0,90,25,2,10,1,1,0,0
"360","Fogarty Creek",10,"High",10,2,1,90,0,0,0,0,0,0
"361","Starfish Point",1,"Low",0,90,0,0,0,1,20,0,0,0
"362","Starfish Point",1,"Mid",0,0,90,75,5,10,5,91,0,0
"363","Starfish Point",1,"High",3,0,1,95,0,1,0,0,0,0
"364","Starfish Point",2,"Low",30,40,0,0,0,0,30,0,0,0
"365","Starfish Point",2,"Mid",10,0,5,2,5,90,1,13,0,0
"366","Starfish Point",2,"High",15,3,0,85,0,0,0,0,0,0
"367","Starfish Point",3,"Low",0,80,0,20,0,0,0,2,0,1
"368","Starfish Point",3,"Mid",10,0,5,30,5,80,20,48,0,0
"369","Starfish Point",3,"High",5,5,1,95,0,0,0,0,0,0
"370","Starfish Point",4,"Low",30,70,0,0,0,0,25,0,0,0
"371","Starfish Point",4,"Mid",2,0,85,50,5,15,2,24,0,0
"372","Starfish Point",4,"High",10,5,1,90,0,0,0,0,0,0
"373","Starfish Point",5,"Low",15,50,0,0,0,0,75,0,0,0
"374","Starfish Point",5,"Mid",20,0,70,60,5,25,0,79,0,0
"375","Starfish Point",5,"High",5,5,1,95,0,0,0,0,0,0
"376","Starfish Point",6,"Low",50,25,0,15,0,0,30,0,0,0
"377","Starfish Point",6,"Mid",10,0,30,10,10,80,5,9,0,1
"378","Starfish Point",6,"High",2,2,1,98,0,1,0,0,0,0
"379","Starfish Point",7,"Low",40,40,0,0,0,0,20,0,0,0
"380","Starfish Point",7,"Mid",2,0,30,5,5,60,20,21,0,0
"381","Starfish Point",7,"High",5,4,1,95,0,0,0,0,0,0
"382","Starfish Point",8,"Low",10,75,0,1,0,0,25,0,0,0
"383","Starfish Point",8,"Mid",0,0,95,70,0,5,1,101,0,0
"384","Starfish Point",8,"High",5,5,2,95,0,0,0,0,0,0
"385","Starfish Point",9,"Low",10,35,0,0,0,0,60,0,0,0
"386","Starfish Point",9,"Mid",0,0,15,10,0,85,0,13,0,0
"387","Starfish Point",9,"High",5,0,5,90,0,0,0,2,0,0
"388","Starfish Point",10,"Low",10,0,0,10,0,0,80,0,0,0
"389","Starfish Point",10,"Mid",20,0,15,10,5,35,15,17,0,0
"390","Starfish Point",10,"High",5,0,5,90,0,0,0,0,0,0
"391","Cape Meares",1,"Low",40,0,3,0,30,50,0,0,1,0
